pair,shape,min_date,max_date,total_days,no_of_trades,volume_traded,total_turnover,avg_price_of_unit_volume,avg_daily_trades
ETH_VERI,"(500, 10)",2017-11-01 06:41:27,2017-11-02 15:03:33,1,500,6414.78558573,1060.79988717,0.165367941453,500
ETH_MOD,"(500, 10)",2017-11-01 18:10:02,2017-11-02 11:15:01,0,500,192257.0,873.008443525,0.00454084087198,0
ETH_OMG,"(500, 10)",2017-11-01 15:39:53,2017-11-02 12:20:17,0,500,44395.0815031,952.445684925,0.0214538559831,0
ETH_0x949b,"(498, 10)",2017-08-17 02:46:33,2017-11-02 06:45:35,77,498,215819.604025,31.2285530803,0.000113872530289,6
ETH_DRT,"(493, 10)",2017-10-18 13:02:02,2017-11-02 16:07:33,15,493,1431249.70235,206.217293681,0.000127105496061,32
ETH_YESTER,"(484, 10)",2017-09-16 10:36:13,2017-11-02 05:31:49,46,484,55960.7847332,202.912684027,0.00194623679391,10
ETH_RCC,"(484, 10)",2017-10-14 05:47:18,2017-11-02 16:00:21,19,484,594569.369833,191.685544437,0.00028116388423,25
ETH_NET,"(478, 10)",2017-08-16 13:40:09,2017-11-02 13:31:35,77,478,74667.0981254,267.402710038,0.00321300037186,6
ETH_HOWL,"(472, 10)",2017-09-22 05:37:51,2017-11-02 15:11:06,41,472,18962589.9418,79.3351164696,2.42205513175e-06,11
ETH_ANT,"(471, 10)",2017-08-16 18:18:53,2017-11-02 09:25:55,77,471,28824.25627,186.289232769,0.00630485219144,6
ETH_INXT,"(469, 10)",2017-09-29 23:34:00,2017-11-02 15:28:00,33,469,48092.9166949,244.293182548,0.0047489084017,14
ETH_CCT,"(468, 10)",2017-09-03 23:47:48,2017-11-02 10:00:10,59,468,51254.1605928,283.54172002,0.00772474246033,7
ETH_0xb320,"(462, 10)",2017-10-20 22:04:04,2017-11-02 16:38:59,12,462,264782.909504,54.3012959804,0.000210191466201,38
ETH_CASH,"(449, 10)",2017-09-09 01:05:31,2017-11-02 15:05:24,54,449,850808.426495,400.334172544,0.000488613281227,8
ETH_DOM,"(426, 10)",2017-09-14 23:16:59,2017-11-02 10:04:42,48,426,505506147.0,148.482589864,3.33934564059e-07,8
ETH_PTOY,"(421, 10)",2017-08-18 10:31:54,2017-11-02 14:21:22,76,421,312653.808541,354.827888706,0.000941591041362,5
ETH_WOLK,"(415, 10)",2017-09-26 06:58:45,2017-11-02 16:03:10,37,415,1194953.24743,102.962074604,0.000363180380335,11
ETH_ETHG,"(408, 10)",2017-10-17 09:26:14,2017-11-02 03:29:11,15,408,773031.662278,66.5497327267,6.89310535553e-05,27
