icmp_seq,time(ms),5_pt_moving_avg,5_pt_moving_std,10_pt_moving_avg,10_pt_moving_std,20_pt_moving_avg,20_pt_moving_std
40,95.6,66.86,16.5700935423,61.92,12.2800470502,65.36,12.8183421212
41,65.9,68.0,16.1890395021,62.79,12.2165143237,65.835,12.6436701451
42,72.4,71.28,14.7471014101,64.61,12.1501211699,66.73,12.4308233203
43,59.0,71.8,14.1239158876,64.55,12.1790576173,66.685,12.4584477786
44,64.8,71.54,14.2663239834,65.3,11.9109660024,67.025,12.3007434521
45,57.7,63.96,5.90533656958,65.41,11.8264721893,66.845,12.4147397539
46,55.5,61.88,6.81300227506,64.94,12.1456164932,65.485,12.0715531203
47,71.7,61.74,6.54469250615,66.51,11.8732612762,64.415,10.3157148896
48,62.7,62.48,6.36411816358,67.14,11.4363164233,63.555,9.65245946297
49,70.2,63.56,7.25244786262,67.55,11.4683380565,63.495,9.60473978387
50,59.9,64.0,6.86440092069,63.98,6.03670255833,62.95,9.47681381056
51,58.1,64.52,6.11735236847,63.2,6.26081286877,62.995,9.45017265228
52,56.2,61.42,5.46141007433,61.58,5.68522451428,63.095,9.36238133225
54,65.5,61.98,5.76081591443,62.23,5.72888393242,63.39,9.33938462979
55,124,72.74,28.8650827125,68.15,20.4228766066,66.725,16.3373925318
56,62.7,73.3,28.5794506595,68.65,20.1985835587,67.03,16.1947392368
57,52.8,72.24,29.3714657448,68.38,20.4108250146,66.66,16.4416480157
58,60.2,73.04,28.8756471789,67.23,20.5266249864,66.87,16.3247342205
59,83.4,76.62,28.816696549,69.3,21.0559571935,68.22,16.5284634877
60,78.7,67.56,12.9484748137,70.15,21.2668364675,68.85,16.682814984
61,57.6,66.54,13.610951473,69.92,21.4020144431,66.95,15.6050093172
62,56.2,67.22,12.814523011,69.73,21.5266785382,66.465,15.7890126687
63,59.8,67.14,12.8704312282,70.09,21.3042223254,65.835,15.7911125904
64,56.8,61.82,9.53425403479,69.22,21.6866984322,65.725,15.8487879331
65,61.5,58.38,2.21404606998,62.97,10.005226412,65.56,15.8760793251
66,54.9,57.84,2.72268250077,62.19,10.3274660762,65.42,15.9611567975
67,54.2,57.44,3.13894886865,62.33,10.1946663615,65.355,16.0062643987
69,85.6,62.6,13.1690926035,64.87,12.5069802733,66.05,16.5874873577
70,81.8,67.6,15.0308017085,64.71,12.2512085572,67.005,16.9307404943
71,91.7,73.64,17.7826600935,66.01,14.4016549975,68.08,17.8043046244
72,87.0,80.06,14.8838167148,68.95,15.456336349,69.435,18.176337278
73,66.4,82.5,9.6721248958,69.97,14.845953433,69.85,17.9977922623
74,60.0,77.38,13.5993382192,69.99,14.8308574713,70.04,17.8656801246
75,53.6,71.74,16.7829675564,69.67,15.1775455489,69.445,18.2194943312
76,57.5,64.9,13.2015150646,69.27,15.4667420975,66.12,13.0834809468
77,55.4,58.58,4.98116452248,69.32,15.4158504288,65.755,13.2842001522
78,72.1,59.72,7.32099719984,71.11,14.4756845933,66.72,12.9913574511
79,71.0,61.92,8.90713197387,69.65,13.5591092792,67.26,12.9303966642
80,70.6,65.32,8.1496625697,68.53,12.8900521506,66.62,12.3951858227
81,68.2,67.46,6.89042814345,66.18,10.0189598041,66.095,12.0748313707
82,101,76.58,13.7252322385,67.58,13.5923834881,68.265,14.1834698078
83,132,88.56,27.7814326484,74.14,24.4517302274,72.055,19.8037071224
84,59.5,86.26,29.987130573,74.09,24.4843464733,72.04,19.8135891698
85,55.5,83.24,32.6046469081,74.28,24.314458433,71.975,19.8682734397
86,59.0,81.4,33.8994837719,74.43,24.2038128309,71.85,19.9453595711
87,57.3,72.66,33.2092306445,74.62,24.0447638098,71.97,19.8449808052
88,63.7,59.0,3.061045573,73.78,24.2880766358,72.445,19.5080948111
89,77.8,62.66,8.99572120511,74.46,24.2967853383,72.055,19.3082059185
90,69.7,65.5,8.39136460893,74.37,24.3143327644,71.45,19.1759031901
91,57.2,65.14,8.77000570125,73.27,24.8670263602,69.725,18.8066022841
92,72.9,68.26,8.02701688051,70.46,22.8947931975,69.02,18.3844785793
93,53.9,66.3,10.2949016508,62.65,8.12844798634,68.395,18.688202724
94,56.0,61.94,8.69959769185,62.3,8.35144698041,68.195,18.8038203005
95,59.2,59.84,7.54937083471,62.67,8.09472393325,68.475,18.615807516
96,55.7,59.54,7.70863152576,62.34,8.32495578901,68.385,18.6759139845
97,64.3,57.82,4.09475273979,63.04,8.14646480928,68.83,18.4549551184
98,163,79.64,46.7278610681,72.97,32.6646274874,73.375,28.0181120931
99,69.1,82.26,45.4199625715,72.1,32.6375380335,73.28,28.0298074425
100,61.2,82.66,45.1742515157,71.25,32.817178767,72.81,28.1556369975
101,54.6,82.44,45.340743267,70.99,32.9508876967,72.13,28.4356725555
102,59.4,81.46,45.8805841288,69.64,33.1399456849,70.05,27.7253541575
103,57.8,60.42,5.42512672663,70.03,32.956572435,66.34,23.6667521619
104,62.6,59.12,3.10998392279,70.69,32.7095449882,66.495,23.6297198014
105,65.4,59.96,4.19141980718,71.31,32.5258000158,66.99,23.490555773
106,58.9,60.82,3.12121771109,71.63,32.3705301505,66.985,23.4923565397
107,57.4,60.42,3.45861243854,70.94,32.616737353,66.99,23.4901972836
108,52.8,59.42,4.84891740495,59.92,4.87938976148,66.445,23.6960906169
109,56.4,58.18,4.61974025244,58.65,3.74558999951,65.375,23.6394602085
110,62.3,57.56,3.47462228163,58.76,3.84366723036,65.005,23.6261112242
111,53.9,56.56,3.70445677529,58.69,3.93317796303,64.84,23.6949117345
112,56.7,56.42,3.67790701351,58.42,3.9715096486,64.03,23.6817740267
113,93.8,64.62,16.5987047687,62.02,11.8495944609,66.025,24.4516036499
114,55.8,64.5,16.6749812594,61.34,12.0066833241,66.015,24.4559598807
115,54.4,62.92,17.2981790949,60.24,12.0969417623,65.775,24.549732017
116,73.4,66.82,16.9508701842,61.69,12.7688379355,66.66,24.4863742991
117,61.8,67.84,16.3318094527,62.13,12.680084998,66.535,24.505429581
118,59.1,60.9,7.55910047559,62.76,12.3163125795,61.34,9.2333149661
119,64.5,62.64,7.07764084989,63.57,12.1162929791,61.11,9.08595793403
120,62.5,64.26,5.46287470111,63.59,12.1141285742,61.175,9.09128414298
121,53.5,60.28,4.25464452099,63.55,12.1502857762,61.12,9.13637034921
122,64.3,60.78,4.609989154,64.31,11.9095153367,61.365,9.15350234955
123,56.1,60.18,5.0568765063,60.54,6.07493941442,61.28,9.19614335641
125,56.0,58.48,4.65424537385,60.56,6.05790576208,60.95,9.26444817569
126,66.7,59.32,5.79931030382,61.79,5.91522517652,61.015,9.30179807179
127,57.3,60.08,5.04598850573,60.18,4.40146440277,60.935,9.3277895503
128,108,68.82,22.3518903004,64.8,15.7939510221,63.465,14.0070386442
129,64.1,70.42,21.4831794667,65.3,15.6721267081,64.03,13.7802719399
130,61.2,71.46,20.7230065386,64.97,15.7254959293,64.27,13.6818396732
131,221,102.32,69.4543519155,80.82,51.696395748,72.205,37.597444972
132,75.8,106.02,66.9023317979,83.05,50.8611890891,73.3,37.3543909911
133,56.4,95.7,70.4084511973,82.26,51.2446896978,73.285,37.3614672737
134,67.7,96.42,70.0218680128,83.42,50.7152793106,71.98,37.0618061309
135,60.7,96.32,70.0850697367,83.89,50.4540373894,72.225,36.9652877711
136,59.1,63.94,7.83536852994,83.13,50.79781382,72.46,36.8607964617
137,57.8,60.34,4.41055552057,83.18,50.7698029235,71.68,37.0046312891
138,65.4,62.14,4.23355642457,78.92,50.2402848541,71.86,36.9627750154
139,66.9,61.98,3.97831622675,79.2,50.1562447646,72.25,36.8620686514
140,57.9,61.42,4.3802967936,78.87,50.2984879384,71.92,36.9645007513
141,55.2,60.64,5.17233022921,62.29,6.49622967574,71.555,37.0982121147
142,54.0,59.88,5.91920602784,60.11,4.92712447129,71.58,37.0855710344
143,69.8,60.76,7.1451382072,61.45,5.5843531407,71.855,37.0491206657
144,58.1,59.0,6.2868911236,60.49,5.20265957628,71.955,37.0070331153
145,56.5,58.72,6.37863621788,60.07,5.35123038811,71.98,36.9958546753
146,60.4,59.76,6.07807535327,60.2,5.3408280673,71.665,37.0699236153
147,85.9,66.14,12.1898728459,63.01,9.61762849032,73.095,37.0382373543
148,54.3,63.04,12.9722010469,61.9,9.94607683685,70.41,36.3140526663
149,58.2,63.06,12.9627543369,61.03,9.84005984625,70.115,36.3918914479
150,61.4,64.04,12.5205031848,61.38,9.77841159562,70.125,36.3893401829
151,55.4,63.04,13.0714574551,61.4,9.76456177545,61.845,8.08471429694
152,74.1,60.68,7.98980600515,63.41,10.1338212602,61.76,7.93787721855
153,61.9,62.2,7.15157325349,62.62,9.88520780426,62.035,7.83704260816
154,56.5,61.86,7.42448651423,62.46,9.97900017258,61.475,7.81104986542
155,56.3,60.84,7.8420660543,62.44,9.99246382697,61.255,7.89553338087
156,57.6,61.28,7.51545075162,62.16,10.0946850702,61.18,7.92415361577
157,58.9,58.24,2.29303292606,59.46,5.68881944402,61.235,7.9032488323
158,76.1,61.08,8.46002364063,61.64,7.40873358499,61.77,8.53679959753
159,75.6,64.9,10.0396713094,63.38,8.47726370948,62.205,9.01994719322
160,63.8,66.4,8.93280471073,63.62,8.44890525453,62.5,8.96807202187
161,57.9,66.46,8.85962753167,63.87,8.21232813113,62.635,8.872208234
162,57.6,66.2,9.1512294256,62.22,7.56024690955,62.815,8.72306531106
163,64.2,63.82,7.29122760583,62.45,7.58437721753,62.535,8.57568625457
164,55.6,59.82,3.91943873533,62.36,7.66771007393,62.41,8.6615241153
165,56.4,58.34,3.40411515669,62.37,7.65898890919,62.405,8.66514342214
166,67.8,60.32,5.38627886393,63.39,7.63230706347,62.775,8.73274991355
167,65.2,61.84,5.49799963623,64.02,7.47897794562,61.74,6.87730057202
168,57.7,60.54,5.56848273769,62.18,6.35588965711,61.91,6.72402604961
169,56.7,60.76,5.34162896503,60.29,4.44458472001,61.835,6.77575204604
170,66.6,62.8,5.2062462485,60.57,4.76679487007,62.095,6.85745656394
171,57.7,60.78,4.71773250619,60.55,4.77964433823,62.21,6.75783366098
172,60.7,59.88,4.04499690976,60.86,4.66623807556,61.54,6.1542796406
173,54.6,59.26,4.65435280141,59.9,4.8851248136,61.175,6.34531530468
174,59.9,59.9,4.42888247756,60.33,4.64807008935,61.345,6.25842379686
175,76.6,61.9,8.55073096291,62.35,6.69083120563,62.36,6.9994285481
176,64.5,63.26,8.2512423307,62.02,6.46989610083,62.705,6.92208327327
177,60.1,63.14,8.30198771379,61.51,6.39191329381,62.765,6.89250355554
178,52.9,62.8,8.76127844552,61.03,6.8720124822,61.605,6.46939963049
179,52.5,61.32,9.92179419258,60.61,7.28216237727,60.45,5.87398367469
180,59.1,57.82,5.0982349887,59.86,6.97650023691,60.215,5.82673285723
181,69.5,58.82,6.90593947266,61.04,7.54530022965,60.795,6.15240432249
182,55.5,57.9,6.99857128277,60.52,7.74780255585,60.69,6.22726602172
183,63.4,60.0,6.69178600973,61.4,7.49636949166,60.65,6.20606664143
184,74.2,64.34,7.58834632842,62.83,8.47808285457,61.58,6.77686466862
185,65.8,65.68,7.00049998214,61.75,7.10590521249,62.05,6.7244643692
186,57.1,63.2,7.48832424512,61.01,7.17270288432,61.515,6.66832852094
187,70.5,66.2,6.58217289351,62.05,7.75632358502,61.78,6.92292910324
188,57.4,65.0,7.67626211121,62.5,7.28255144545,61.765,6.93255288286
189,56.0,61.36,6.43840042247,62.85,6.81782793694,61.73,6.96117806122
190,58.1,59.82,6.01805616458,62.75,6.88593574695,61.305,6.90746926008
191,60.0,60.4,5.82709189905,61.8,6.4954685059,61.42,6.86329673738
192,67.4,59.78,4.4968878127,62.99,6.30016754627,61.755,6.98867316674
193,57.1,59.72,4.53839178564,62.36,6.56407732367,61.88,6.87540238057
194,54.8,59.48,4.80801414307,60.42,5.44789459843,61.625,7.04518312488
195,58.5,59.56,4.78257252951,59.69,5.12649978055,60.72,6.12240062996
196,63.8,60.32,5.15722793756,60.36,5.18784905117,60.685,6.10161971594
197,74.6,61.76,7.90272105037,60.77,6.15088972787,61.41,6.84465984699
198,59.1,62.16,7.65460645625,60.94,6.07036517298,61.72,6.57399982387
199,58.3,62.86,6.9399567722,61.17,5.90368058455,62.01,6.26661160857
200,55.5,62.26,7.51684774357,60.91,6.10763638589,61.83,6.40477617835
201,58.2,61.14,7.64611012215,60.73,6.16370199006,61.265,6.1872768434
202,67.7,59.76,4.64198233517,60.76,6.2003942527,61.875,6.19038941042
203,113,70.54,24.1827004282,66.35,17.4774298899,64.355,13.0111885051
204,56.1,70.1,24.4792769501,66.48,17.3865720856,63.45,12.9195282625
205,56.2,70.24,24.376689685,66.25,17.518577441,62.97,13.0056708279
206,55.1,69.62,24.7953019744,65.38,17.8663432807,62.87,13.0607527791
207,60.0,68.08,25.1804884782,63.92,17.6240870528,62.345,12.9484595711
208,60.0,57.48,2.34029912618,64.01,17.5990182807,62.475,12.9091919516
209,59.5,58.16,2.33302378899,64.13,17.5598057443,62.65,12.8403352965
210,58.0,58.52,2.08014422577,64.38,17.4406804149,62.645,12.8422196393
211,60.3,59.56,0.918150314491,64.59,17.3705018158,62.66,12.8391424537
212,56.7,58.9,1.51492574075,63.49,17.4994888814,62.125,12.8541566081
213,61.4,59.18,1.8593009439,58.33,2.18482137587,62.34,12.8015377366
214,61.3,59.54,2.09594847265,58.85,2.21371984577,62.665,12.6819919986
215,57.9,59.52,2.11471038206,59.02,2.04656894446,62.635,12.6930679382
216,72.4,61.94,6.2026607194,60.75,4.36431234242,63.065,12.8789209666
217,68.5,64.3,5.95021008032,61.6,4.98553463086,62.76,12.66177006
218,57.8,63.58,6.57396379668,61.38,5.11094685726,62.695,12.6848635451
219,54.4,62.2,7.78492132266,60.87,5.55458769347,62.5,12.7855592883
220,57.9,62.2,7.78492132266,60.86,5.56041565193,62.62,12.7275333534
221,56.9,59.1,5.44104769323,60.52,5.70064323856,62.555,12.7545853468
222,56.8,56.76,1.41173651933,60.53,5.69328063988,62.01,12.7560470696
223,55.8,56.36,1.32400906341,59.97,5.87084131771,59.15,4.39263738065
225,66.1,58.7,4.20297513673,60.45,6.17976087276,59.65,4.59181193453
226,75.6,62.24,8.55821243017,62.22,7.71287523849,60.62,5.73214389947
227,61.1,63.08,8.09672773409,61.09,6.83332520325,60.92,5.58311363799
228,57.4,63.2,7.98404659305,59.98,6.38258046039,60.79,5.63568517293
229,58.2,63.68,7.48445054764,60.02,6.36863843812,60.7,5.66327039607
230,55.8,61.62,8.0481053671,60.16,6.24556731699,60.515,5.76406974281
231,83.3,63.16,11.4216023394,62.7,9.5271541746,61.78,7.65056585455
232,56.8,62.3,11.7720006796,62.69,9.53396851031,61.605,7.725860538
233,101,71.02,20.2966007006,67.11,15.113162034,63.82,11.6163949476
234,53.3,70.04,21.1698606514,66.86,15.3400130378,63.415,11.8441757839
235,52.9,69.46,21.6908506057,65.54,15.9677591832,62.995,12.0699049401
236,59.2,64.64,20.4910468254,63.9,15.658934262,63.06,12.0444964501
237,56.4,64.56,20.5300511446,63.43,15.8219994522,62.26,11.9222216227
238,56.6,55.68,2.60518713339,63.35,15.8578581992,61.665,11.891318151
239,63.4,57.7,3.89486841883,63.87,15.7551437809,61.945,11.8614135574
240,59.7,59.06,2.84569850828,64.26,15.580486371,62.21,11.7425855666
241,68.2,60.86,4.99279480852,62.75,14.2008020118,62.725,11.769446394
242,56.2,60.82,5.03805518032,62.69,14.2299722808,62.69,11.7887055671
243,54.5,60.4,5.54030685071,58.04,4.77986517708,62.575,11.8601888243
244,57.3,59.18,5.38395765214,58.44,4.49819716973,62.65,11.8197648921
245,54.9,58.22,5.6874423074,58.64,4.26281075765,62.09,11.912660227
246,56.7,55.92,1.1882760622,58.39,4.29947025161,61.145,11.5279739855
247,57.8,56.24,1.46560567684,58.53,4.24998039211,60.98,11.55224289
248,148,74.94,40.8564927521,67.67,28.5352043779,65.51,22.5772102141
249,59.7,75.42,40.6107990564,67.3,28.6205831139,65.585,22.5541284586
250,58.0,76.04,40.2411853702,67.13,28.6757369372,65.695,22.5092139029
251,150,94.7,49.579431219,75.31,38.8699383986,69.03,29.2012815148
252,56.9,94.52,49.7482361496,75.38,38.8323118607,69.035,29.1990856922
253,55.8,76.08,41.3476359663,75.51,38.7567470829,66.775,28.3311224628
254,66.1,77.36,40.809349419,76.39,38.3955567453,67.415,28.1547280315
255,68.7,79.5,39.8086045975,77.77,37.7804196789,68.205,27.9469134912
256,58.0,61.1,5.87579781817,77.9,37.7020188083,68.145,27.9685438907
257,57.6,61.24,5.75786418735,77.88,37.7139172661,68.205,27.9432973792
258,56.4,61.36,5.62076507248,68.72,28.8801662045,68.195,27.9477044533
259,60.1,60.16,4.95711609709,68.76,28.8665588913,68.03,27.9872170069
260,57.8,57.98,1.33865604245,68.74,28.8749102933,67.935,28.0201858629
261,57.2,57.82,1.3827508814,59.46,4.37980212643,67.385,28.1224816416
262,57.8,57.86,1.37767920794,59.55,4.33031946474,67.465,28.0912474663
263,62.5,59.08,2.21065601123,60.22,4.20206298541,67.865,27.9535380493
264,66.8,60.42,4.15716249382,60.29,4.31520567297,68.34,27.8450675969
265,55.5,59.96,4.6209306422,58.97,3.3727832226,68.37,27.8301445804
266,85.0,65.52,11.7284696359,61.67,8.85752034526,69.785,27.924847924
267,64.1,66.78,11.0080425145,62.32,8.7636623496,70.1,27.8178662771
268,60.0,66.28,11.303848902,62.68,8.56514902251,65.7,20.962673594
269,71.2,67.16,11.5235845118,63.79,8.90610901448,66.275,20.9471484054
270,52.8,66.62,12.2471221109,63.29,9.40607959425,66.015,21.0870694977
271,57.4,61.1,6.97853852895,63.31,9.39189366777,61.385,7.40065964343
272,59.1,60.1,6.79705818719,63.44,9.31584075051,61.495,7.34664083639
273,58.7,59.84,6.82663899734,63.06,9.43518238651,61.64,7.25638738593
274,62.7,58.14,3.57393340733,62.65,9.34323879129,61.47,7.18588528773
275,64.5,60.48,2.98529730513,63.55,9.0053379232,61.26,7.0229998089
276,62.8,61.56,2.53535007445,61.33,4.95581588753,61.5,6.98765829309
277,56.8,61.1,3.21169737055,60.6,5.03940031706,61.46,7.01340070677
278,57.2,60.8,3.54471437495,60.32,5.15294953293,61.5,6.98524761269
279,58.6,59.98,3.46871734219,59.06,3.4590300503,61.425,7.00908245365
280,67.3,60.54,4.46407885235,60.51,3.58033207647,61.9,7.07210978719
281,64.0,60.78,4.64456671822,61.17,3.55154113653,62.24,6.99732279631
282,56.6,60.74,4.68806996535,60.92,3.79321030849,62.18,7.04239791698
283,53.9,60.08,5.47695170693,60.44,4.36582689126,61.75,7.2803629175
284,56.0,59.56,5.7682753055,59.77,4.49272251041,61.21,7.28660631426
285,56.1,57.32,3.87517741529,58.93,4.29083001554,61.24,7.26305720754
286,58.4,56.2,1.60779351908,58.49,4.06979387957,59.91,4.64779517621
287,59.8,56.84,2.29630137395,58.79,4.04185051128,59.695,4.54202308275
288,71.5,60.36,6.43062982918,60.22,5.63319526458,60.27,5.25468212269
289,61.7,61.5,5.95189045598,60.53,5.61942068979,59.795,4.60371417559
290,59.6,62.2,5.33151010503,59.76,5.09143070921,60.135,4.3010739173
291,69.2,64.36,5.58864921068,60.28,5.79018326327,60.725,4.69724163178
292,54.6,63.32,6.96397874781,60.08,5.96336966637,60.5,4.88326896551
293,54.9,60.0,5.9762028078,60.18,5.85563356473,60.31,5.02874892886
294,56.2,58.9,6.09015599143,60.2,5.84009132349,59.985,5.07597799755
295,56.6,58.3,6.15142259969,60.25,5.80311219184,59.59,5.01313012839
296,57.1,55.88,1.08489630841,60.12,5.86340818599,59.305,4.98296836075
297,55.7,56.1,0.845576726264,59.71,6.02927119237,59.25,5.01802015897
298,66.6,58.44,4.59053373803,59.22,5.09068866767,59.72,5.25072426082
299,58.9,58.98,4.41667295597,58.94,5.01557573963,59.735,5.24778399347
300,54.5,58.56,4.78414046617,58.43,5.19701837595,59.095,5.05355268468
301,75.2,62.18,8.67162037914,59.03,6.70589293085,59.655,6.13132380314
302,61.6,63.36,7.93996221653,59.73,6.55575235109,59.905,6.10206824299
303,59.7,61.98,7.83498564134,60.21,6.33481561601,60.195,5.93725747427
304,58.8,61.96,7.84493467149,60.47,6.20395035441,60.335,5.86571438643
305,59.6,62.98,6.90811117455,60.77,6.06704211292,60.51,5.78436185808
306,55.8,59.1,2.11187120819,60.64,6.16751345537,60.38,5.86296134982
307,59.7,58.72,1.67541039748,61.04,5.9369277502,60.375,5.8635246271
308,56.4,58.06,1.83521115951,60.02,5.74877764785,59.62,5.30080430838
309,61.0,58.5,2.26936114358,60.23,5.74167029511,59.585,5.28864473735
310,55.6,57.7,2.47991935353,60.34,5.62913058217,59.385,5.36315647436
311,68.7,60.28,5.21315643349,59.69,3.80100863807,59.36,5.31595414023
312,54.8,59.3,5.77927331072,59.01,4.02311377473,59.37,5.30670876295
313,59.5,59.92,5.55220676848,58.99,4.019798226,59.6,5.20141681103
314,56.7,59.06,5.67476871775,58.78,4.08514925608,59.625,5.18539193058
315,54.3,58.8,5.89830484122,58.25,4.30484223482,59.51,5.28063991338
316,58.0,56.66,2.17324641953,58.47,4.22112412621,59.555,5.26282643693
317,56.6,57.02,1.92275843517,58.16,4.23456674945,59.6,5.23188604415
318,56.6,56.44,1.33529023062,58.18,4.22579381103,59.1,5.0004210349
319,57.6,56.62,1.43596657343,57.84,4.10885223227,59.035,5.01159445161
320,55.9,56.94,0.847348806572,57.87,4.09173964633,59.105,4.95436808866
321,54.7,56.28,1.07098085884,56.47,1.62757488307,58.08,3.29043270231
323,57.8,56.52,1.27553910171,56.77,1.56066225259,57.89,3.18448541658
324,60.1,57.22,2.05353354002,56.83,1.6839437837,57.91,3.19768008011
325,58.6,57.42,2.14639232201,57.02,1.7725060727,57.9,3.19506197947
326,54.5,57.14,2.46231598297,57.04,1.7392207706,57.645,3.25519422979
327,59.4,58.08,2.17876111586,57.18,1.87604785535,57.825,3.24732683587
328,57.7,58.06,2.18242983851,57.29,1.87050201223,57.725,3.21720293684
329,56.6,57.36,1.90866445453,57.29,1.87050201223,57.735,3.21317599891
330,59.6,57.56,2.11258135938,57.49,2.00911810393,57.665,3.15298939187
331,57.6,58.18,1.28140547837,57.66,1.92999712147,57.765,3.11554253111
332,55.5,57.4,1.51822264507,57.74,1.80628532261,57.105,1.79574790166
333,58.7,57.6,1.62941707368,57.83,1.83184788306,57.3,1.74325768847
334,54.7,57.22,2.08014422577,57.29,1.88352506399,57.06,1.7548129305
335,55.8,56.46,1.64103625798,57.01,1.87524813173,57.015,1.77594304081
336,58.4,56.62,1.81024860171,57.4,1.69181033873,57.22,1.68010024764
337,57.6,57.04,1.72713635825,57.22,1.54474017952,57.2,1.67269086709
338,55.7,56.44,1.51426549852,57.02,1.60402272081,57.155,1.70153955056
339,58.9,57.28,1.47207336774,57.25,1.69918281012,57.27,1.73935862347
340,58.4,57.8,1.26293309403,57.13,1.55066294067,57.31,1.75646175442
341,57.7,57.66,1.21778487427,57.14,1.55434873822,57.4,1.72626765016
342,56.0,57.34,1.42933550995,57.19,1.5029230778,57.465,1.64165353098
343,59.9,58.18,1.45842380672,57.31,1.67494610195,57.57,1.72903989178
344,60.9,58.58,1.90971202017,57.93,1.74741078297,57.61,1.79850815371
345,57.0,58.3,2.0408331632,58.05,1.62155617986,57.53,1.78770655781
346,57.8,58.32,2.03396165156,57.99,1.61826381588,57.695,1.63947199459
347,59.4,59.0,1.58271917913,58.17,1.6693644832,57.695,1.63947199459
348,57.8,58.58,1.56268998845,58.38,1.4405245958,57.7,1.63964052543
349,56.1,57.62,1.21737422348,58.1,1.59234278833,57.675,1.66096832886
350,57.3,57.68,1.18617030818,57.99,1.6072405614,57.56,1.59914450813
351,72.6,60.64,6.78991899804,59.48,4.88098350745,58.31,3.72430141807
352,656,179.96,266.200155898,119.48,188.573126399,88.335,133.664734848
353,59.5,180.3,266.006137147,119.44,188.587210595,88.375,133.655519015
354,97.4,188.56,261.793187459,123.09,187.679345042,90.51,133.430139024
355,56.1,188.32,261.944110451,123.0,187.71477181,90.525,133.426048412
356,53.3,184.46,264.208086553,122.55,187.893748048,90.27,133.495531563
357,55.9,64.44,18.5563466232,122.2,188.027663449,90.185,133.517967547
358,62.5,65.04,18.4045646512,122.67,187.854595366,90.525,133.43416226
359,56.4,56.84,3.39823483591,122.7,187.842806623,90.4,133.466514626
360,71.8,59.98,7.41869260719,124.15,187.3371604,91.07,133.330985462
361,57.0,60.72,6.73921360397,122.59,187.8782966,91.035,133.340297833
362,66.4,62.82,6.49322724075,63.63,13.1341835596,91.555,133.216699107
363,57.1,61.74,6.98984978379,63.39,13.2395409454,91.415,133.253183136
364,55.3,61.52,7.21366758314,59.18,5.8603754146,91.135,133.326541263
365,56.5,58.46,4.49588700926,59.22,5.83834070796,91.11,133.333325482
366,56.6,58.38,4.53177669353,59.55,5.55282710778,91.05,133.349372939
367,481,141.3,189.899223274,102.06,133.25551229,112.13,158.949015659
368,63.2,142.52,189.241504433,102.13,133.232604034,112.4,158.856429719
369,73.4,146.14,187.319320947,103.83,132.691631236,113.265,158.580593075
370,54.6,145.76,187.548415083,102.11,133.263193635,113.13,158.631884696
371,145,163.44,181.097896178,110.91,132.858299201,116.75,158.484325972
372,91.8,85.6,35.9805503015,113.45,132.15373413,88.54,94.9083236325
373,61.0,85.16,36.3346666422,113.84,131.974595198,88.615,94.8847571087
