PING api.etherdelta.com (104.20.111.62) 56(84) bytes of data.
64 bytes from 104.20.111.62: icmp_seq=128 ttl=55 time=108 ms
64 bytes from 104.20.111.62: icmp_seq=129 ttl=55 time=64.1 ms
64 bytes from 104.20.111.62: icmp_seq=130 ttl=55 time=61.2 ms
64 bytes from 104.20.111.62: icmp_seq=131 ttl=55 time=221 ms
64 bytes from 104.20.111.62: icmp_seq=132 ttl=55 time=75.8 ms
64 bytes from 104.20.111.62: icmp_seq=133 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=134 ttl=55 time=67.7 ms
64 bytes from 104.20.111.62: icmp_seq=135 ttl=55 time=60.7 ms
64 bytes from 104.20.111.62: icmp_seq=136 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=137 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=138 ttl=55 time=65.4 ms
64 bytes from 104.20.111.62: icmp_seq=139 ttl=55 time=66.9 ms
64 bytes from 104.20.111.62: icmp_seq=140 ttl=55 time=57.9 ms
64 bytes from 104.20.111.62: icmp_seq=141 ttl=55 time=55.2 ms
64 bytes from 104.20.111.62: icmp_seq=142 ttl=55 time=54.0 ms
64 bytes from 104.20.111.62: icmp_seq=143 ttl=55 time=69.8 ms
64 bytes from 104.20.111.62: icmp_seq=144 ttl=55 time=58.1 ms
64 bytes from 104.20.111.62: icmp_seq=145 ttl=55 time=56.5 ms
64 bytes from 104.20.111.62: icmp_seq=146 ttl=55 time=60.4 ms
64 bytes from 104.20.111.62: icmp_seq=147 ttl=55 time=85.9 ms
64 bytes from 104.20.111.62: icmp_seq=148 ttl=55 time=54.3 ms
64 bytes from 104.20.111.62: icmp_seq=149 ttl=55 time=58.2 ms
64 bytes from 104.20.111.62: icmp_seq=150 ttl=55 time=61.4 ms
64 bytes from 104.20.111.62: icmp_seq=151 ttl=55 time=55.4 ms
64 bytes from 104.20.111.62: icmp_seq=152 ttl=55 time=74.1 ms
64 bytes from 104.20.111.62: icmp_seq=153 ttl=55 time=61.9 ms
64 bytes from 104.20.111.62: icmp_seq=154 ttl=55 time=56.5 ms
64 bytes from 104.20.111.62: icmp_seq=155 ttl=55 time=56.3 ms
64 bytes from 104.20.111.62: icmp_seq=156 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=157 ttl=55 time=58.9 ms
64 bytes from 104.20.111.62: icmp_seq=158 ttl=55 time=76.1 ms
64 bytes from 104.20.111.62: icmp_seq=159 ttl=55 time=75.6 ms
64 bytes from 104.20.111.62: icmp_seq=160 ttl=55 time=63.8 ms
64 bytes from 104.20.111.62: icmp_seq=161 ttl=55 time=57.9 ms
64 bytes from 104.20.111.62: icmp_seq=162 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=163 ttl=55 time=64.2 ms
64 bytes from 104.20.111.62: icmp_seq=164 ttl=55 time=55.6 ms
64 bytes from 104.20.111.62: icmp_seq=165 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=166 ttl=55 time=67.8 ms
64 bytes from 104.20.111.62: icmp_seq=167 ttl=55 time=65.2 ms
64 bytes from 104.20.111.62: icmp_seq=168 ttl=55 time=57.7 ms
64 bytes from 104.20.111.62: icmp_seq=169 ttl=55 time=56.7 ms
64 bytes from 104.20.111.62: icmp_seq=170 ttl=55 time=66.6 ms
