pair,min_date,max_date,no_of_trades,total_time,avg_hourly_trades,volume_traded,total_turnover,avg_price_of_unit_volume,total_data,outliers_in_data,%_of_outliers
ETH_IETH,2017-10-30 18:40:48,2017-11-02 15:30:07,500,"2 days, 20:49:19",7.265124576705589,2989993.945184641,146.80964814710188,4.6517739716141444e-05,500,7,1.4000000000000001
ETH_ELITE,2017-10-30 03:21:59,2017-11-02 14:29:57,500,"3 days, 11:07:58",6.0144748361055616,169803.11311421354,162.3146356598782,0.0008708100822099599,500,9,1.7999999999999998
ETH_PPT,2017-11-01 08:20:44,2017-11-02 17:04:12,500,"1 day, 8:43:28",15.279098193671059,106555.38352913003,1278.5710354817286,0.011999121894504687,500,11,2.1999999999999997
ETH_KIN,2017-10-30 04:36:08,2017-11-02 16:28:35,500,"3 days, 11:52:27",5.961311091019285,2424185319.7462397,390.5913900726893,1.6157314215975012e-07,500,14,2.8000000000000003
ETH_BTCR,2017-10-30 23:15:47,2017-11-02 15:13:24,500,"2 days, 15:57:37",7.817351915468367,1570377.247447249,104.62127348453728,6.66482224883726e-05,500,14,2.8000000000000003
ETH_PPP,2017-10-30 21:37:12,2017-11-02 11:02:41,500,"2 days, 13:25:29",8.140044951137119,646591.9792580733,395.585320409464,0.0006142792513325713,500,14,2.8000000000000003
ETH_LINK,2017-10-31 21:29:55,2017-11-02 15:41:24,500,"1 day, 18:11:29",11.850759436167202,929706.3706409712,522.8615034426311,0.0005977395991408129,500,14,2.8000000000000003
ETH_ATM,2017-10-31 12:16:09,2017-11-02 17:32:53,500,"2 days, 5:16:44",9.384580092177432,12155770.023745798,2151.805004862972,0.0001784785245761228,500,14,2.8000000000000003
ETH_SALT,2017-10-30 17:37:30,2017-11-02 12:59:45,500,"2 days, 19:22:15",7.421609252272867,50017.25413520001,440.3924091542903,0.008888553405457598,500,18,3.5999999999999996
ETH_EBTC,2017-10-31 20:19:33,2017-11-02 16:44:30,500,"1 day, 20:24:57",11.2572468526614,3149271.901534161,63.1179247076416,2.0022087361148527e-05,500,18,3.5999999999999996
ETH_HDG,2017-10-28 12:05:11,2017-11-02 11:43:59,500,"4 days, 23:38:48",4.178971415835516,97991.85998106367,386.19441418653213,0.0037232544958350827,500,19,3.8
ETH_CAG,2017-10-28 17:56:46,2017-11-02 15:28:48,500,"4 days, 21:32:02",4.254092200358288,669423.848842754,502.40345712566193,0.0007475033936326593,500,21,4.2
ETH_ECASH,2017-10-29 17:31:06,2017-11-02 11:01:55,500,"3 days, 17:30:49",5.585742702071999,2591715.810881195,102.87865943919529,3.933926696509605e-05,500,22,4.3999999999999995
ETH_ZRX,2017-10-29 18:27:40,2017-11-02 15:52:41,500,"3 days, 21:25:01",5.3523480453522305,912026.879173354,546.4633589531867,0.0006005595885175563,500,22,4.3999999999999995
ETH_ETHD,2017-10-29 22:14:08,2017-11-02 12:16:46,500,"3 days, 14:02:38",5.810987932515062,505105.7556324001,318.0791050653172,0.0006573748825376759,500,36,7.199999999999999
ETH_POS,2017-10-31 13:34:02,2017-11-02 11:12:23,500,"1 day, 21:38:21",10.955502401080945,18070.072326566467,55.77692075698097,0.0030427778162212898,500,38,7.6
ETH_EOS,2017-11-01 15:02:21,2017-11-02 17:02:19,500,"1 day, 1:59:58",19.23118015342208,209817.94812477843,752.6663707960536,0.003587235398701183,500,40,8.0
ETH_TRX,2017-10-29 14:17:15,2017-11-02 16:01:29,500,"4 days, 1:44:14",5.115758240633898,40544799.70456,383.79600217185873,9.203156752559332e-06,500,42,8.4
ETH_OMG,2017-11-01 15:39:53,2017-11-02 12:20:17,500,20:40:24,24.185746533376328,44395.08150310051,952.4456849251767,0.021453855983092605,500,43,8.6
ETH_PLR,2017-10-31 16:48:42,2017-11-02 15:22:23,500,"1 day, 22:33:41",10.738511284385607,1430707.26779075,523.3045385756396,0.0003724266448863093,500,54,10.8
ETH_SCL,2017-10-31 21:40:19,2017-11-02 15:47:30,500,"1 day, 18:07:11",11.870923491898095,476472.1147071504,827.4644058648946,0.0017282835329142394,500,67,13.4
ETH_0xdb45,2017-10-28 23:17:16,2017-11-02 16:05:19,500,"4 days, 16:48:03",4.4325913667895485,2970749.0,39.30964698268426,1.60492616142866e-05,500,69,13.8
ETH_COB,2017-10-31 14:02:34,2017-11-02 12:44:23,500,"1 day, 22:41:49",10.70733869096836,2557185.2682935707,443.3646867993698,0.0001785480374378142,500,108,21.6
