date,Open,High,Low,Close,Mean,Std,Range,Q1,Median,Q3,IQR,Skewness,Kurtosis,No_of_Outliers,Volume,Turnover
2017-11-18,1.72e-07,1.65e-06,1.6e-07,1.7899999999999997e-07,1.973246268656717e-07,1.2721291219076475e-07,1.4900000000000001e-06,1.84625e-07,1.8775000000000002e-07,1.9e-07,5.375000000000007e-09,0.0,0.0,32,524972115.2285649,119.00430566966193
2017-11-19,1.8800000000000002e-07,7.49e-07,0.0,1.8e-07,1.9300692685161389e-07,5.8154796481073284e-08,7.49e-07,1.8e-07,1.87e-07,1.8899999999999999e-07,8.999999999999988e-09,0.0,0.0,11,502852502.5764579,93.69659456421252
2017-11-20,1.92e-07,5000000.0,1.75e-07,1.7899999999999997e-07,26737.967914627523,365636.2120635514,4999999.999999825,1.8e-07,1.87e-07,1.925e-07,1.2500000000000013e-08,13.674794331177326,186.99999999999983,5,754907753.083017,145.3764521765293
2017-11-25,1.483e-07,4e-07,1.12e-07,1.44e-07,1.4578972645442086e-07,2.0974599339804124e-08,2.88e-07,1.3866650591099999e-07,1.45e-07,1.5e-07,1.1333494089000007e-08,0.0,0.0,23,818162160.2863199,114.27538184503834
2017-11-26,1.44e-07,1.99e-07,1.2099999999999998e-07,1.44e-07,1.3688495252599987e-07,1.001802293469851e-08,7.800000000000001e-08,1.3e-07,1.3565999999999999e-07,1.44e-07,1.3999999999999993e-08,0.0,0.0,2,651855227.4254949,85.75341476252594
2017-12-01,2e-07,3.6e-07,1.3439999999999999e-07,1.43e-07,1.4861223639346045e-07,1.705022143852733e-08,2.256e-07,1.42e-07,1.48e-07,1.51e-07,8.999999999999988e-09,0.0,0.0,3,594407141.1633986,86.71808185379199
2017-12-02,1.4e-07,10255000.0,1.36e-07,1.4599999999999998e-07,47697.67441875084,699385.1951269604,10254999.999999864,1.42e-07,1.4700022460699998e-07,1.51e-07,8.999999999999988e-09,14.662878298615187,215.00000000000003,2,1151155187.6629913,167.52334028360272
2017-12-04,1.49e-07,1.49e-07,1.4e-07,1.4e-07,1.4518040937015716e-07,2.3167343618638047e-09,8.999999999999988e-09,1.445051192065e-07,1.45006959971e-07,1.47e-07,2.4948807935e-09,0.0,0.0,2,615281358.7953593,88.38937220289088
2017-12-10,1.364e-07,2.12e-07,1.11e-07,1.234e-07,1.276396510020843e-07,8.879265198376949e-09,1.0099999999999999e-07,1.2199999999999998e-07,1.2699999999999999e-07,1.31e-07,9.000000000000014e-09,0.0,0.0,1,1265544180.061723,158.0225105538804
2017-12-11,1.43e-07,500000.0,1.2e-07,1.23e-07,2994.011976171521,38691.16162669721,499999.99999988,1.23e-07,1.24e-07,1.252806703035e-07,2.2806703034999913e-09,12.922847983320104,167.00000000000026,10,1161734705.521571,143.8078833787324
