#,Source,Pair,Volume (24h),Price,Volume (%),Updated
196,WEX,LTC/BTC,696224,4314.6600,0.06%,Recently
197,The Rock Trading,BTC/EUR,676281,4346.0600,0.06%,Recently
198,Poloniex,FCT/BTC,674136,4307.3900,0.06%,Recently
199,Bitfinex,ETC/BTC,674013,4321.9000,0.06%,Recently
200,Livecoin,LSK/BTC,666668,4348.3000,0.06%,Recently
201,Huobi,BCC/BTC,665769,4359.6100,0.06%,Recently
202,BTC Markets,BTC/AUD,663565,4401.1400,0.06%,Recently
203,Kraken,BCH/BTC,662872,4334.6000,0.06%,Recently
204,Poloniex,OMG/BTC,631020,4320.0600,0.06%,Recently
205,Bittrex,GNT/BTC,624128,4322.5200,0.06%,Recently
206,OkCoin Intl.,BTC/USD,623874,4338.0000,0.06%,Recently
207,HitBTC,ETC/BTC,618044,4331.0200,0.05%,Recently
208,Yuanbao,BTC/CNY,616747,4141.5400,0.00%,140 hours ago
209,Bittrex,ARDR/BTC,611427,4107.6100,0.05%,Recently
210,Binance,FUN/BTC,586046,4295.3800,0.05%,Recently
211,Bitfinex,EOS/BTC,586038,4324.1900,0.05%,Recently
212,Bittrex,KORE/BTC,582702,4256.0700,0.05%,Recently
213,Novaexchange,ATCC/BTC,581102,4315.8100,0.05%,Recently
214,Livecoin,BCH/BTC,575912,4428.5100,0.05%,Recently
215,GDAX,LTC/BTC,567096,4325.2900,0.05%,Recently
216,Binance,CTR/BTC,565957,4258.8500,0.05%,Recently
217,Livecoin,LTC/BTC,565004,4333.2200,0.05%,Recently
218,Kraken,XMR/BTC,561317,4341.7900,0.05%,Recently
219,Exmo,BTC/RUB,559676,4109.0400,0.05%,Recently
220,Bit-Z,XPM/BTC,558084,4325.6600,0.05%,Recently
221,Bittrex,AEON/BTC,551871,4249.5100,0.05%,Recently
222,LakeBTC,BTC/CAD,549247,4460.7900,0.05%,Recently
223,Binance,SNGLS/BTC,548144,4305.1700,0.05%,Recently
224,Poloniex,STEEM/BTC,545831,4336.9600,0.05%,Recently
225,Bittrex,NAV/BTC,536458,4362.6800,0.05%,Recently
226,Bittrex,DRACO/BTC,529975,4285.0200,0.05%,Recently
227,Bittrex,NXC/BTC,528766,4303.1900,0.05%,Recently
228,Bittrex,BTA/BTC,522395,4362.6000,0.05%,Recently
229,BTCTurk,BTC/TRY,520114,4311.6500,0.05%,Recently
230,LiteBit.eu,BTC/EUR,510765,4350.2100,0.05%,Recently
231,Bittrex,XST/BTC,500792,4249.5200,0.04%,Recently
232,Bittrex,RISE/BTC,497035,4296.5900,0.04%,Recently
233,Bittrex,SNGLS/BTC,496100,4389.3800,0.04%,Recently
234,Liqui,BMC/BTC,494166,4364.1500,0.04%,Recently
235,Kraken,DASH/BTC,493293,4304.9900,0.04%,Recently
236,Bitstamp,XRP/BTC,493249,4306.2300,0.04%,Recently
237,Livecoin,BCC/BTC,491162,4337.1200,0.04%,Recently
238,WEX,BTC/RUR,490125,4508.1900,0.04%,Recently
239,Kraken,XRP/BTC,486959,4322.5300,0.04%,Recently
240,DSX,BTC/USD,480317,4308.5700,0.04%,Recently
241,HitBTC,LSK/BTC,479117,4365.2400,0.04%,Recently
242,Bittrex,DCR/BTC,470831,4305.9300,0.04%,Recently
243,Liqui,BAT/BTC,464209,4373.5000,0.04%,Recently
244,Bit-Z,PPC/BTC,461930,4641.0200,0.04%,Recently
245,Poloniex,MAID/BTC,453130,4246.0200,0.04%,Recently
246,Bittrex,BSD/BTC,448615,4344.1000,0.04%,Recently
247,xBTCe,BTC/JPY,444236,4186.9600,0.00%,7 hours ago
248,xBTCe,BTC/GBP,444178,4187.2000,0.00%,7 hours ago
249,OKEx,LTC/BTC,435861,4339.5400,0.04%,Recently
250,xBTCe,BTC/EUR,435024,4103.6100,0.00%,7 hours ago
251,Bittrex,LMC/BTC,433112,4321.1000,0.04%,Recently
252,xBTCe,BTC/CNH,431408,4069.1200,0.00%,7 hours ago
253,Poloniex,ZRX/BTC,427741,4332.0400,0.04%,Recently
254,CoinExchange,ETHD/BTC,423105,4333.4200,0.04%,Recently
255,Bittrex,XZC/BTC,417559,4369.2200,0.04%,Recently
256,WEX,ETH/BTC,416905,4324.0500,0.04%,Recently
257,Tidex,MSD/BTC,416679,4320.9600,0.04%,Recently
258,BitcoinToYou,BTC/BRL,412902,4489.7400,0.04%,Recently
