co_code,co_name
5475,UCO Bank
5481,United Bank (I)
5492,Cox & Kings
5493,Union Bank (I)
5496,Maruti Suzuki
5498,Shriram Pistons
5516,Shri Matre
5521,S B T
5523,Dhanlaxmi Bank
5531,IndusInd Bank
5533,Dena Bank
5539,Central Bank
5553,Alankit
5554,Axis Bank
5571,Sphere Global
5586,Jet Airways
5600,Surana Corp.
5607,Bank of Maha
5611,Elder Pharma
5638,Syndicate Bank
5654,Bank of India
5656,HCL Technologies
5675,Allahabad Bank
5704,Madras Fert.
5745,Rossell India
5772,JK Paper
5807,Indian Metals
5814,Pun. & Sind Bank
5834,Pilani Invest.
5859,Andhra Bank
5860,Karnataka Bank
5895,Cranes Software
5926,ICSA (India)
5947,St Bk of Mysore
5951,Alicon Cast.
5954,IVRCL
5955,I O B
5961,St Bk of Bikaner
5982,RBL Bank
5991,KRBL
6025,Vijaya Bank
6045,Suprajit Engg.
6061,Indian Bank
6064,Geojit BNP
6068,O N G C
6070,Arman Financial
6083,Manappuram Fin.
6103,Beardsell
6113,Sri Adhik. Bros.
6127,Vikas Ecotech
6159,Nucleus Soft.
6263,South Ind.Bank
6279,Country Condo
6285,Lak. Fin. & Indl
6367,Zydus Wellness
6418,Phoenix Mills
6423,Emami
6454,The Byke Hospi.
6463,Gemini Comm.
6481,Jullundur Motor
6485,NBI Indl. Fin.
6548,Shri.City Union.
6570,Almondz Global
6580,Shakti Pumps
6589,Signet Indus.
6599,Jocil
6600,Lambodhara Text.
6614,Wellwin Inds.
6649,Swelect Energy
6661,AI Champ.Inds.
6674,Vital Comm.
6730,Mohit Inds.
6733,Karuturi Global
6838,Sunteck Realty
6856,Maars Soft.Intl.
6867,Bilpower
6890,DLF
6902,Jindal Worldwide
6975,Viji Finance
6986,Sundaram Multi.
7015,City Union Bank
7045,Kanani Inds.
7065,Sharda Motor
7091,Spectacle Ventur
7102,Responsive Ind
7129,SE Investments
7133,Panoramic Univ.
7255,Khandwala Sec.
7310,Ahluwalia Contr.
7311,J & K Bank
7383,Prajay Engg.
7387,Pioneer Distil.
7400,Agarwal Indl.
7436,Cybertech Sys.
7469,CORE Education
7484,LCC Infotech
7550,Lila Worldwide
7594,BSEL Infra.
7620,REI Agro
7629,KSS
7816,Mukand Engineers
7817,Ambica Agarbat.
7820,KCP Sugar &Inds.
